x,y
23091.00,1.996094
23092.00,1.992188
23095.00,1.984375
23096.00,1.988281
23097.00,1.980469
23098.00,1.980469
23099.00,1.976563
23102.00,1.992188
23103.00,1.996094
23104.00,1.996094
23105.00,2.011719
23106.00,2.011719
23109.00,2.011719
23110.00,2.011719
23111.00,2.042969
23112.00,2.078125
23116.00,2.113281
23117.00,2.105469
23118.00,2.085938
23119.00,2.078125
23120.00,2.082031
23123.00,2.085938
23124.00,2.085938
23125.00,2.101563
23126.00,2.089844
23127.00,2.09375
23130.00,2.101563
23131.00,2.113281
23132.00,2.121094
23133.00,2.117188
23134.00,2.117188
23137.00,2.082031
23138.00,2.046875
23139.00,2.023438
23140.00,2.070313
23141.00,2.085938
23144.00,2.097656
23145.00,2.082031
23146.00,2.046875
23147.00,2.03125
23148.00,2.035156
23151.00,2.019531
23152.00,2.027344
23153.00,2.058594
23154.00,2.0625
23155.00,2.074219
23158.00,2.089844
23159.00,2.109375
23160.00,2.117188
23162.00,2.117188
23165.00,2.082031
23166.00,2.078125
23167.00,2.109375
23168.00,2.121094
23169.00,2.113281
23172.00,2.113281
23173.00,2.121094
23174.00,2.125
23175.00,2.105469
23176.00,2.109375
23179.00,2.097656
23180.00,2.09375
23181.00,2.09375
23182.00,2.089844
23183.00,2.101563
23186.00,2.113281
23187.00,2.132813
23188.00,2.117188
23189.00,2.121094
23190.00,2.136719
23193.00,2.105469
23194.00,2.136719
23195.00,2.160156
23197.00,2.164063
23200.00,2.152344
23201.00,2.179688
23202.00,2.175781
23203.00,2.179688
23204.00,2.164063
23207.00,2.15625
23208.00,2.15625
23209.00,2.160156
23210.00,2.148438
23211.00,2.140625
23214.00,2.128906
23215.00,2.136719
23216.00,2.152344
23217.00,2.160156
23218.00,2.183594
23221.00,2.175781
23222.00,2.199219
23223.00,2.191406
23224.00,2.1875
23225.00,2.195313
23228.00,2.214844
23229.00,2.238281
23230.00,2.21875
23231.00,2.21875
23232.00,2.207031
23235.00,2.195313
23236.00,2.199219
23237.00,2.203125
23238.00,2.210938
23239.00,2.203125
23242.00,2.191406
23243.00,2.195313
23244.00,2.1875
23245.00,2.199219
23246.00,2.203125
23249.00,2.207031
23250.00,2.203125
23251.00,2.214844
23252.00,2.230469
23253.00,2.234375
23257.00,2.242188
23258.00,2.226563
23259.00,2.230469
23260.00,2.21875
23263.00,2.207031
23264.00,2.191406
23265.00,2.199219
23266.00,2.214844
23267.00,2.222656
23270.00,2.230469
23271.00,2.25
23272.00,2.246094
23273.00,2.265625
23274.00,2.277344
23277.00,2.261719
23278.00,2.265625
23279.00,2.265625
23280.00,2.257813
23281.00,2.21875
23284.00,2.140625
23285.00,2.191406
23286.00,2.191406
23287.00,2.195313
23288.00,2.210938
23291.00,2.21875
23292.00,2.214844
23293.00,2.195313
23294.00,2.183594
23295.00,2.179688
23298.00,2.171875
23299.00,2.175781
23300.00,2.207031
23301.00,2.183594
23302.00,2.195313
23305.00,2.195313
23306.00,2.195313
23307.00,2.183594
23308.00,2.195313
23309.00,2.238281
23312.00,2.277344
23313.00,2.25
23314.00,2.207031
23315.00,2.21875
23316.00,2.222656
23319.00,2.25
23321.00,2.207031
23322.00,2.21875
23323.00,2.222656
23326.00,2.214844
23327.00,2.199219
23328.00,2.171875
23329.00,2.144531
23330.00,2.097656
23333.00,2.0625
23334.00,2.09375
23335.00,2.15625
23336.00,2.152344
23337.00,2.105469
23341.00,2.167969
23342.00,2.167969
23344.00,2.21875
23347.00,2.25
23348.00,2.246094
23349.00,2.238281
23350.00,2.277344
23351.00,2.273438
23354.00,2.265625
23355.00,2.269531
23356.00,2.277344
23357.00,2.277344
23358.00,2.285156
23361.00,2.339844
23362.00,2.34375
23363.00,2.355469
23364.00,2.359375
23365.00,2.390625
23368.00,2.371094
23369.00,2.328125
23371.00,2.339844
23372.00,2.339844
23375.00,2.339844
23376.00,2.375
23378.00,2.371094
23379.00,2.394531
23382.00,2.398438
23383.00,2.421875
23384.00,2.414063
23385.00,2.414063
23386.00,2.417969
23389.00,2.402344
23390.00,2.398438
23391.00,2.398438
23392.00,2.382813
23393.00,2.359375
23396.00,2.375
23397.00,2.40625
23398.00,2.425781
23399.00,2.445313
23400.00,2.453125
23403.00,2.488281
23404.00,2.558594
23405.00,2.546875
23406.00,2.527344
23407.00,2.570313
23410.00,2.578125
23411.00,2.578125
23412.00,2.542969
23413.00,2.53125
23414.00,2.546875
23417.00,2.539063
23418.00,2.539063
23419.00,2.523438
23420.00,2.523438
23421.00,2.496094
23424.00,2.511719
23425.00,2.527344
23426.00,2.542969
23427.00,2.53125
23431.00,2.550781
23432.00,2.5625
23433.00,2.558594
23434.00,2.554688
23435.00,2.566406
23438.00,2.558594
23439.00,2.566406
23440.00,2.5625
23441.00,2.566406
23442.00,2.5625
23445.00,2.539063
23446.00,2.554688
23447.00,2.558594
23448.00,2.5625
23449.00,2.582031
23452.00,2.574219
23453.00,2.632813
23454.00,2.636719
23455.00,2.65625
23456.00,2.644531
23459.00,2.648438
23460.00,2.652344
23461.00,2.640625
23462.00,2.640625
23466.00,2.625
23467.00,2.625
23468.00,2.628906
23469.00,2.714844
23470.00,2.6875
23473.00,2.683594
23474.00,2.707031
23475.00,2.695313
23476.00,2.679688
23477.00,2.664063
23480.00,2.683594
23481.00,2.710938
23482.00,2.695313
23483.00,2.691406
23484.00,2.703125
23487.00,2.695313
23488.00,2.699219
23489.00,2.679688
23490.00,2.699219
23491.00,2.660156
23494.00,2.648438
23495.00,2.679688
23496.00,2.71875
23497.00,2.6875
23498.00,2.734375
23501.00,2.78125
23502.00,2.816406
23503.00,2.777344
23504.00,2.765625
23505.00,2.75
23508.00,2.753906
23509.00,2.761719
23510.00,2.75
23511.00,2.738281
23512.00,2.730469
23515.00,2.695313
23516.00,2.683594
23517.00,2.710938
23518.00,2.722656
23519.00,2.746094
23522.00,2.734375
23523.00,2.714844
23524.00,2.722656
23525.00,2.722656
23529.00,2.683594
23530.00,2.671875
23531.00,2.664063
23532.00,2.621094
23533.00,2.640625
23536.00,2.644531
23537.00,2.648438
23538.00,2.660156
23539.00,2.667969
23540.00,2.65625
23543.00,2.648438
23544.00,2.667969
23545.00,2.695313
23546.00,2.71875
23547.00,2.730469
23550.00,2.75
23551.00,2.742188
23552.00,2.726563
23553.00,2.734375
23554.00,2.730469
23557.00,2.710938
23558.00,2.71875
23559.00,2.753906
23560.00,2.773438
23564.00,2.804688
23565.00,2.808594
23566.00,2.796875
23567.00,2.789063
23568.00,2.800781
23571.00,2.757813
23572.00,2.734375
23573.00,2.765625
23574.00,2.773438
23575.00,2.773438
23578.00,2.769531
23579.00,2.75
23580.00,2.738281
23581.00,2.738281
23582.00,2.730469
23585.00,2.742188
23586.00,2.742188
23587.00,2.726563
23588.00,2.75
23589.00,2.765625
23592.00,2.75
23593.00,2.699219
23594.00,2.6875
23595.00,2.628906
23596.00,2.664063
23599.00,2.648438
23600.00,2.652344
23601.00,2.667969
23602.00,2.699219
23603.00,2.691406
23606.00,2.6875
23607.00,2.675781
23608.00,2.710938
23609.00,2.699219
23610.00,2.710938
23613.00,2.683594
23614.00,2.640625
23615.00,2.644531
23616.00,2.660156
23617.00,2.65625
23620.00,2.65625
23621.00,2.644531
23622.00,2.640625
23623.00,2.640625
23624.00,2.640625
23628.00,2.648438
23629.00,2.664063
23630.00,2.667969
23631.00,2.699219
23634.00,2.691406
23635.00,2.6875
23636.00,2.703125
23637.00,2.707031
23638.00,2.6875
23641.00,2.703125
23642.00,2.707031
23643.00,2.710938
23644.00,2.738281
23645.00,2.761719
23648.00,2.761719
23649.00,2.71875
23650.00,2.695313
23651.00,2.691406
23652.00,2.722656
23655.00,2.742188
23656.00,2.734375
23657.00,2.738281
23658.00,2.757813
23659.00,2.769531
23662.00,2.777344
23663.00,2.765625
23664.00,2.742188
23665.00,2.746094
23666.00,2.746094
23669.00,2.738281
23670.00,2.734375
23671.00,2.738281
23672.00,2.757813
23673.00,2.761719
23676.00,2.773438
23677.00,2.785156
23678.00,2.777344
23679.00,2.773438
23680.00,2.787109
23683.00,2.796875
23685.00,2.753906
23686.00,2.765625
23687.00,2.796875
23690.00,2.804688
23691.00,2.796875
23692.00,2.796875
23693.00,2.796875
23694.00,2.792969
23697.00,2.804688
23698.00,2.8125
23699.00,2.84375
23700.00,2.839844
23701.00,2.886719
23704.00,2.859375
23705.00,2.871094
23706.00,2.855469
23708.00,2.816406
23711.00,2.796875
23712.00,2.75
23713.00,2.726563
23714.00,2.746094
23715.00,2.773438
23718.00,2.78125
23719.00,2.773438
23720.00,2.746094
23721.00,2.757813
23722.00,2.769531
23725.00,2.753906
23726.00,2.738281
23727.00,2.746094
23728.00,2.757813
23729.00,2.78125
23732.00,2.789063
23733.00,2.796875
23734.00,2.8125
23735.00,2.8125
23739.00,2.816406
23740.00,2.796875
23741.00,2.804688
23742.00,2.816406
23746.00,2.765625
23747.00,2.777344
23748.00,2.789063
23749.00,2.800781
23750.00,2.804688
23753.00,2.792969
23754.00,2.804688
23755.00,2.800781
23756.00,2.804688
23757.00,2.808594
23760.00,2.816406
23761.00,2.8125
23762.00,2.8125
23763.00,2.8125
23764.00,2.8125
23767.00,2.792969
23768.00,2.796875
23769.00,2.800781
23770.00,2.769531
23771.00,2.730469
23774.00,2.722656
23775.00,2.738281
23776.00,2.710938
23777.00,2.679688
23778.00,2.660156
23781.00,2.664063
23782.00,2.660156
23783.00,2.640625
23784.00,2.53125
23785.00,2.546875
23788.00,2.550781
23789.00,2.558594
23790.00,2.527344
23791.00,2.539063
23792.00,2.527344
23796.00,2.53125
23797.00,2.554688
23798.00,2.5625
23799.00,2.558594
23802.00,2.535156
23803.00,2.546875
23804.00,2.523438
23805.00,2.496094
23806.00,2.464844
23809.00,2.453125
23810.00,2.4375
23811.00,2.429688
23812.00,2.429688
23813.00,2.460938
23816.00,2.480469
23817.00,2.492188
23818.00,2.492188
23819.00,2.464844
23820.00,2.464844
23823.00,2.46875
23824.00,2.46875
23825.00,2.476563
23826.00,2.472656
23827.00,2.46875
23830.00,2.464844
23831.00,2.457031
23832.00,2.453125
23833.00,2.457031
23834.00,2.460938
23837.00,2.457031
23838.00,2.464844
23839.00,2.457031
23840.00,2.4375
23841.00,2.441406
23844.00,2.417969
23845.00,2.421875
23846.00,2.433594
23847.00,2.414063
23851.00,2.40625
23852.00,2.410156
23853.00,2.457031
23854.00,2.5
23855.00,2.523438
23858.00,2.507813
23859.00,2.496094
23860.00,2.492188
23861.00,2.449219
23862.00,2.464844
23865.00,2.5
23866.00,2.5
23867.00,2.484375
23868.00,2.488281
23869.00,2.480469
23872.00,2.46875
23873.00,2.453125
23874.00,2.441406
23875.00,2.457031
23876.00,2.449219
23879.00,2.449219
23880.00,2.4375
23881.00,2.453125
23882.00,2.457031
23883.00,2.441406
23886.00,2.425781
23887.00,2.417969
23888.00,2.417969
23889.00,2.414063
23890.00,2.433594
23894.00,2.425781
23895.00,2.40625
23896.00,2.433594
23897.00,2.445313
23900.00,2.433594
23901.00,2.417969
23902.00,2.402344
23903.00,2.410156
23904.00,2.414063
23907.00,2.40625
23908.00,2.394531
23909.00,2.402344
23910.00,2.445313
23911.00,2.449219
23914.00,2.445313
23915.00,2.480469
23916.00,2.453125
23917.00,2.441406
23918.00,2.429688
23921.00,2.371094
23922.00,2.375
23923.00,2.445313
23924.00,2.449219
23925.00,2.429688
23929.00,2.410156
23930.00,2.390625
23931.00,2.402344
23932.00,2.425781
23935.00,2.425781
23936.00,2.4375
23937.00,2.441406
23938.00,2.453125
23939.00,2.4375
23942.00,2.457031
23943.00,2.417969
23944.00,2.40625
23945.00,2.378906
23946.00,2.371094
23949.00,2.371094
23950.00,2.371094
23951.00,2.363281
23952.00,2.359375
23953.00,2.382813
23956.00,2.371094
23957.00,2.386719
23958.00,2.375
23959.00,2.367188
23960.00,2.375
23963.00,2.363281
23964.00,2.351563
23965.00,2.351563
23966.00,2.34375
23967.00,2.367188
23970.00,2.363281
23971.00,2.371094
23972.00,2.371094
23973.00,2.371094
23974.00,2.347656
23977.00,2.351563
23978.00,2.332031
23979.00,2.324219
23980.00,2.339844
23981.00,2.335938
23984.00,2.328125
23985.00,2.308594
23986.00,2.320313
23987.00,2.328125
23988.00,2.328125
23992.00,2.308594
23993.00,2.308594
23994.00,2.320313
23995.00,2.328125
23998.00,2.390625
23999.00,2.4375
24000.00,2.480469
24001.00,2.46875
24002.00,2.46875
24005.00,2.472656
24006.00,2.484375
24007.00,2.5
24008.00,2.480469
24009.00,2.464844
24012.00,2.480469
24013.00,2.46875
24014.00,2.46875
24015.00,2.453125
24016.00,2.464844
24019.00,2.46875
24020.00,2.476563
24021.00,2.472656
24022.00,2.464844
24023.00,2.464844
24026.00,2.460938
24027.00,2.441406
24028.00,2.429688
24029.00,2.410156
24030.00,2.433594
24033.00,2.480469
24034.00,2.503906
24035.00,2.507813
24036.00,2.53125
24037.00,2.554688
24040.00,2.5625
24041.00,2.601563
24042.00,2.546875
24043.00,2.527344
24044.00,2.515625
24047.00,2.523438
24049.00,2.515625
24050.00,2.542969
24051.00,2.570313
24054.00,2.570313
24055.00,2.574219
24056.00,2.578125
24057.00,2.585938
24058.00,2.621094
24061.00,2.621094
24062.00,2.605469
24063.00,2.605469
24064.00,2.605469
24065.00,2.605469
24068.00,2.574219
24069.00,2.574219
24070.00,2.570313
24072.00,2.546875
24075.00,2.492188
24076.00,2.496094
24077.00,2.5
24078.00,2.476563
24079.00,2.46875
24082.00,2.441406
24083.00,2.449219
24084.00,2.464844
24085.00,2.535156
24086.00,2.566406
24089.00,2.566406
24090.00,2.582031
24091.00,2.574219
24092.00,2.539063
24093.00,2.535156
24096.00,2.523438
24097.00,2.523438
24098.00,2.496094
24099.00,2.511719
24103.00,2.507813
24104.00,2.511719
24105.00,2.5
24106.00,2.519531
24107.00,2.511719
24110.00,2.523438
24111.00,2.507813
24112.00,2.523438
24113.00,2.511719
24114.00,2.546875
24117.00,2.5625
24118.00,2.589844
24119.00,2.589844
24120.00,2.574219
24121.00,2.59375
24124.00,2.621094
24125.00,2.621094
24126.00,2.625
24127.00,2.597656
24128.00,2.59375
24131.00,2.617188
24132.00,2.613281
24133.00,2.578125
24134.00,2.554688
24135.00,2.53125
24138.00,2.519531
24139.00,2.519531
24140.00,2.535156
24141.00,2.511719
24142.00,2.511719
24145.00,2.515625
24146.00,2.5
24147.00,2.492188
24148.00,2.507813
24149.00,2.484375
24152.00,2.472656
24153.00,2.460938
24154.00,2.460938
24155.00,2.445313
24156.00,2.402344
24159.00,2.390625
24161.00,2.375
24162.00,2.359375
24163.00,2.390625
24166.00,2.394531
24167.00,2.375
24168.00,2.378906
24169.00,2.375
24170.00,2.367188
24173.00,2.371094
24174.00,2.382813
24175.00,2.382813
24176.00,2.390625
24177.00,2.394531
24180.00,2.386719
24181.00,2.386719
24182.00,2.367188
24183.00,2.351563
24184.00,2.34375
24187.00,2.34375
24188.00,2.34375
24189.00,2.335938
24190.00,2.335938
24191.00,2.339844
24194.00,2.316406
24195.00,2.304688
24196.00,2.28125
24197.00,2.304688
24198.00,2.320313
24201.00,2.371094
24202.00,2.421875
24203.00,2.449219
24204.00,2.445313
24208.00,2.414063
24209.00,2.394531
24210.00,2.382813
24211.00,2.421875
24212.00,2.425781
24215.00,2.425781
24216.00,2.433594
24217.00,2.441406
24218.00,2.464844
24219.00,2.46875
24222.00,2.46875
24223.00,2.410156
24224.00,2.445313
24225.00,2.449219
24226.00,2.417969
24229.00,2.390625
24230.00,2.359375
24231.00,2.378906
24232.00,2.34375
24233.00,2.324219
24236.00,2.285156
24237.00,2.296875
24238.00,2.3125
24239.00,2.308594
24240.00,2.273438
24243.00,2.253906
24244.00,2.238281
24245.00,2.25
24246.00,2.242188
24247.00,2.234375
24250.00,2.292969
24251.00,2.304688
24252.00,2.308594
24253.00,2.308594
24254.00,2.308594
24258.00,2.253906
24259.00,2.277344
24260.00,2.246094
24261.00,2.234375
24264.00,2.207031
24265.00,2.195313
24266.00,2.183594
24267.00,2.199219
24268.00,2.226563
24271.00,2.246094
24272.00,2.230469
24273.00,2.207031
24274.00,2.171875
24275.00,2.167969
24278.00,2.148438
24279.00,2.152344
24280.00,2.15625
24281.00,2.136719
24282.00,2.117188
24285.00,2.089844
24286.00,2.082031
24287.00,2.109375
24288.00,2.148438
24289.00,2.179688
24293.00,2.210938
24294.00,2.234375
24295.00,2.234375
24296.00,2.226563
24299.00,2.226563
24300.00,2.210938
24301.00,2.210938
24302.00,2.210938
24303.00,2.230469
24306.00,2.238281
24307.00,2.210938
24308.00,2.195313
24309.00,2.195313
24310.00,2.171875
24313.00,2.140625
24314.00,2.121094
24315.00,2.144531
24316.00,2.15625
24317.00,2.164063
24320.00,2.121094
24321.00,2.125
24322.00,2.136719
24323.00,2.160156
24324.00,2.15625
24327.00,2.132813
24328.00,2.113281
24329.00,2.152344
24330.00,2.113281
24331.00,2.113281
24334.00,2.085938
24335.00,2.054688
24336.00,2.050781
24337.00,2.023438
24338.00,1.980469
24341.00,1.964844
24342.00,1.929688
24343.00,1.992188
24344.00,1.945313
24345.00,1.914063
24348.00,1.871094
24349.00,1.90625
24350.00,2
24351.00,2.027344
24352.00,2.035156
24356.00,2.003906
24357.00,2
24358.00,2.003906
24359.00,2.011719
24362.00,2.050781
24363.00,2.058594
24364.00,2.070313
24365.00,2.121094
24366.00,2.085938
24369.00,2.066406
24370.00,2.011719
24371.00,1.96875
24372.00,1.980469
24373.00,1.941406
24376.00,1.9375
24377.00,1.984375
24378.00,1.9375
24379.00,1.9375
24380.00,1.980469
24383.00,1.925781
24384.00,1.949219
24385.00,1.953125
24386.00,1.957031
24387.00,1.960938
24390.00,2.011719
24391.00,2.011719
24392.00,2.089844
24393.00,2.050781
24394.00,2.046875
24397.00,2.089844
24398.00,2.128906
24399.00,2.082031
24400.00,2.105469
24401.00,2.113281
24404.00,2.195313
24405.00,2.195313
24406.00,2.199219
24407.00,2.21875
24408.00,2.191406
24411.00,2.183594
24412.00,2.1875
24413.00,2.140625
24414.00,2.15625
24415.00,2.132813
24418.00,2.113281
24420.00,2.125
24421.00,2.167969
24422.00,2.183594
24425.00,2.15625
24426.00,2.152344
24427.00,2.160156
24428.00,2.140625
24429.00,2.144531
24432.00,2.089844
24433.00,2.042969
24434.00,2.039063
24436.00,2.035156
24439.00,2.015625
24440.00,2.007813
24441.00,2.007813
24442.00,1.996094
24443.00,1.996094
24446.00,1.988281
24447.00,2.007813
24448.00,2.0625
24449.00,2.066406
24450.00,2.050781
24453.00,2.066406
24454.00,2.027344
24455.00,1.992188
24456.00,1.992188
24457.00,1.972656
24460.00,1.953125
24461.00,1.929688
24462.00,1.949219
24463.00,2
24464.00,1.996094
24468.00,1.980469
24469.00,1.96875
24470.00,1.976563
24471.00,1.976563
24475.00,1.980469
24476.00,1.964844
24477.00,1.984375
24478.00,1.996094
24481.00,1.984375
24482.00,1.992188
24483.00,2.003906
24484.00,2.003906
24485.00,2.027344
24488.00,2.042969
24489.00,2.054688
24490.00,2.074219
24491.00,2.066406
24492.00,2.042969
24495.00,2.027344
24496.00,2.019531
24497.00,1.996094
24498.00,1.96875
24499.00,1.96875
24502.00,1.96875
24503.00,1.960938
24504.00,1.957031
24505.00,2
24506.00,2.027344
24509.00,1.976563
24510.00,1.980469
24511.00,1.996094
24512.00,1.996094
24513.00,1.976563
24516.00,1.964844
24517.00,1.96875
24518.00,1.96875
24519.00,1.964844
24520.00,1.953125
24523.00,1.9375
24524.00,1.925781
24526.00,1.9375
24527.00,1.925781
24530.00,1.90625
24531.00,1.890625
24532.00,1.894531
24533.00,1.929688
24534.00,1.960938
24537.00,1.964844
24538.00,1.957031
24539.00,1.945313
24540.00,1.933594
24541.00,1.917969
24544.00,1.941406
24545.00,1.929688
24546.00,1.9375
24547.00,1.976563
24548.00,1.996094
24551.00,1.976563
24552.00,1.972656
24553.00,1.988281
24554.00,2.027344
24558.00,2.003906
24559.00,2.023438
24560.00,2.015625
24561.00,2.007813
24562.00,2
24565.00,1.984375
24566.00,1.976563
24567.00,1.996094
24568.00,1.992188
24569.00,1.992188
24572.00,1.972656
24573.00,1.964844
24574.00,1.964844
24575.00,1.957031
24576.00,1.957031
24579.00,1.984375
24580.00,1.964844
24581.00,1.964844
24582.00,1.953125
24583.00,1.960938
24586.00,1.957031
24587.00,1.984375
24588.00,1.976563
24589.00,1.96875
24590.00,1.972656
24593.00,1.964844
24594.00,1.96875
24595.00,1.992188
24596.00,2.03125
24597.00,2.082031
24600.00,2.078125
24601.00,2.03125
24602.00,2.03125
24603.00,2.035156
24604.00,1.992188
24607.00,1.984375
24608.00,1.988281
24609.00,2
24610.00,2.003906
24611.00,1.992188
24614.00,1.96875
24615.00,1.949219
24616.00,1.917969
24617.00,1.964844
24618.00,1.929688
24621.00,1.9375
24623.00,1.910156
24624.00,1.910156
24625.00,1.914063
24628.00,1.875
24629.00,1.914063
24630.00,1.96875
24631.00,1.976563
24632.00,1.972656
24635.00,1.988281
24636.00,1.984375
24637.00,1.972656
24638.00,1.96875
24639.00,1.96875
24642.00,1.972656
24643.00,1.96875
24644.00,1.945313
24645.00,1.925781
24646.00,1.914063
24649.00,1.90625
24650.00,1.910156
24651.00,1.898438
24652.00,1.894531
24653.00,1.90625
24656.00,1.90625
24658.00,1.910156
24659.00,1.882813
24660.00,1.890625
24663.00,1.894531
24664.00,1.921875
24665.00,1.929688
24666.00,1.9375
24667.00,1.925781
24670.00,1.941406
24671.00,1.949219
24672.00,1.960938
24673.00,2.007813
24674.00,2.019531
24677.00,2.03125
24678.00,2.003906
24679.00,2.007813
24680.00,1.96875
24681.00,1.988281
